work_year,exp_level,emp_type,salary
2024,SE,FT,202730
2024,SE,FT,92118
2024,SE,FT,130500
2024,SE,FT,96000
2024,SE,FT,190000
2024,SE,FT,160000
2024,MI,FT,400000
2024,MI,FT,65000
2024,EN,FT,101520
2024,EN,FT,45864
2024,SE,FT,172469
2024,SE,FT,114945
2024,EX,FT,200000
2024,EX,FT,150000
2024,MI,FT,156450
2024,MI,FT,119200
2024,SE,FT,170000
2024,SE,FT,130000
2024,SE,FT,222200
2024,SE,FT,136000
2024,MI,FT,128000
2024,MI,FT,81500
2024,SE,FT,93838
2024,SE,FT,69535
2024,EN,FT,75000
2024,EN,FT,65000
2024,MI,FT,150000
2024,MI,FT,125000
2024,MI,FT,260570
2024,MI,FT,167030
2024,EN,FT,120000
2024,EN,FT,100000
2024,SE,FT,190000
2024,SE,FT,155000
2024,SE,FT,174000
2024,SE,FT,116000
2024,MI,FT,100000
2024,MI,FT,80000
2024,MI,FT,145000
2024,MI,FT,95000
2024,MI,FT,120000
2024,MI,FT,70000
2024,MI,CT,130000
2024,MI,CT,110000
2024,MI,FT,240000
2024,MI,FT,180000
2024,SE,FT,202800
2024,SE,FT,115000
2024,SE,FT,80000
2024,SE,FT,45000
2024,SE,FT,90000
2024,SE,FT,75000
2024,MI,FT,112300
2024,MI,FT,75100
2024,MI,FT,178200
2024,MI,FT,87000
2024,SE,FT,138000
2024,SE,FT,72000
2024,MI,FT,252000
2024,MI,FT,168000
2024,SE,FT,140000
2024,SE,FT,130000
2024,SE,FT,190000
2024,SE,FT,100000
2024,MI,FT,150650
2024,MI,FT,106700
2024,SE,FT,192300
2024,SE,FT,107900
2024,MI,FT,115000
2024,MI,FT,95500
2024,MI,FT,195000
2024,MI,FT,160000
2024,SE,FT,257600
2024,SE,FT,146000
2024,EN,FT,90000
2024,EN,FT,70000
2024,SE,FT,110000
2024,SE,FT,70000
2024,SE,FT,158200
2024,SE,FT,74100
2024,SE,FT,231400
2024,SE,FT,170955
2024,MI,FT,137000
2024,MI,FT,60300
2024,MI,FT,101098
2024,MI,FT,59469
2024,MI,FT,166363
2024,MI,FT,103977
2024,SE,FT,166000
2024,SE,FT,104000
2024,SE,FT,170400
2024,SE,FT,123800
2024,MI,FT,94763
2024,MI,FT,67750
2024,SE,FT,251250
2024,SE,FT,120750
2024,MI,FT,30000
2024,MI,FT,25800
2024,SE,FT,189615
2024,SE,FT,150385
2024,SE,FT,283800
2024,SE,FT,234700
2024,MI,FT,109000
2024,MI,FT,93000
2024,MI,FT,164000
2024,MI,FT,131000
2024,MI,FT,45607
2024,MI,FT,30921
2024,MI,FT,55000
2024,MI,FT,45000
2024,SE,FT,144300
2024,SE,FT,104800
2024,SE,FT,212750
2024,SE,FT,157250
2024,EN,FT,150000
2024,EN,FT,129200
2024,SE,FT,265000
2024,SE,FT,170000
2024,SE,FT,190000
2024,SE,FT,155000
2024,SE,FT,165000
2024,SE,FT,100000
2024,MI,FT,213900
2024,MI,FT,126500
2024,SE,FT,130000
2024,SE,FT,104000
2024,SE,FT,225000
2024,SE,FT,66000
2024,SE,FT,220000
2024,MI,FT,110000
2024,MI,FT,85000
2024,SE,FT,282000
2024,SE,FT,188000
2024,EX,FT,219650
2024,EX,FT,136000
2024,SE,FT,210850
2024,SE,FT,145400
2024,MI,FT,143800
2024,MI,FT,106300
2024,MI,FT,150000
2024,MI,FT,90200
2024,MI,FT,140000
2024,MI,FT,110000
2024,SE,FT,140000
2024,SE,FT,120000
2024,EN,PT,800000
2024,MI,PT,138000
2024,MI,PT,86000
2024,MI,FT,199700
2024,MI,FT,70800
2024,SE,FT,175000
2024,SE,FT,130000
2024,SE,FT,169847
2024,SE,FT,131631
2024,SE,FT,277000
2024,SE,FT,173000
2024,SE,FT,264500
2024,SE,FT,165600
2024,SE,FT,194000
2024,SE,FT,168000
2024,MI,FT,90000
2024,MI,FT,70000
2024,EN,FT,137000
2024,EN,FT,60400
2024,EX,FT,197689
2024,EX,FT,152311
2024,EX,FT,209500
2024,EX,FT,147500
2024,SE,FT,170000
2024,SE,FT,146000
2024,SE,FT,220600
2024,SE,FT,140100
2024,SE,FT,236872
2024,SE,FT,148045
2024,MI,FT,143896
2024,MI,FT,99208
2024,SE,FT,250000
2024,SE,FT,160000
2024,SE,FT,200000
2024,SE,FT,25000
2024,SE,FT,137500
2024,SE,FT,81500
2024,EX,FT,209700
2024,EX,FT,161300
2024,SE,FT,249000
2024,SE,FT,216000
2024,SE,FT,170040
2024,SE,FT,113360
2024,MI,FT,178250
2024,MI,FT,110500
2024,EN,FT,83300
2024,EN,FT,47500
2024,SE,FT,200000
2024,SE,FT,148500
2024,SE,FT,138000
2024,SE,FT,120000
2024,SE,FT,250000
2024,SE,FT,200000
2024,SE,FT,110000
2024,SE,FT,90000
2024,MI,FT,142000
2024,MI,FT,129500
2024,MI,FT,210554
2024,MI,FT,131596
2024,SE,FT,170000
2024,SE,FT,130000
2024,SE,FT,159550
2024,SE,FT,113000
2024,MI,FT,135000
2024,MI,FT,100000
2024,MI,FT,245400
2024,MI,FT,139000
2024,SE,FT,190000
2024,SE,FT,167000
2024,SE,FT,304000
2024,SE,FT,244000
2024,EN,FT,50000
2024,EN,FT,44000
2024,SE,FT,247600
2024,SE,FT,127300
2024,SE,FT,210000
2024,SE,FT,170000
2024,MI,FT,222200
2024,MI,FT,136000
2024,MI,FT,200000
2024,MI,FT,151300
2024,MI,FT,110000
2024,MI,FT,90000
2024,EN,FT,156000
2024,EN,FT,94000
2024,MI,FT,212800
2024,MI,FT,124100
2024,MI,FT,195000
2024,MI,FT,140000
2024,SE,FT,199068
2024,SE,FT,150000
2024,EX,FT,250900
2024,EX,FT,173100
2024,MI,FT,95000
2024,MI,FT,80000
2024,EN,FT,60000
2024,EN,FT,40000
2024,SE,FT,138000
2024,SE,FT,86000
2024,SE,FT,186754
2024,SE,FT,101000
2024,SE,FT,234000
2024,SE,FT,146000
2024,MI,FT,96200
2024,MI,FT,69800
2024,SE,FT,96200
2024,SE,FT,69800
2024,SE,FT,170000
2024,SE,FT,150000
2024,MI,FT,157500
2024,MI,FT,149900
2024,SE,FT,169000
2024,SE,FT,105000
2024,SE,FT,148017
2024,SE,FT,87069
2024,MI,FT,106336
2024,MI,FT,83150
2024,MI,FT,130000
2024,MI,FT,91000
2024,SE,FT,149925
2024,SE,FT,91260
2024,SE,FT,185000
2024,SE,FT,25000
2024,SE,FT,155000
2024,SE,FT,120000
2024,SE,FT,209700
2024,SE,FT,144600
2024,SE,FT,175000
2024,SE,FT,117000
2024,MI,FT,77280
2024,MI,FT,58000
2024,SE,FT,170200
2024,SE,FT,125800
2024,SE,FT,202730
2024,SE,FT,92118
2024,MI,FT,125000
2024,MI,FT,100000
2024,SE,FT,200000
2024,SE,FT,160000
2024,MI,FT,157144
2024,MI,FT,93101
2024,SE,FT,209000
2024,SE,FT,150000
2024,SE,FT,260000
2024,SE,FT,136000
2024,SE,FT,189000
2024,SE,FT,145400
2024,SE,FT,200070
2024,SE,FT,107730
2024,SE,FT,154000
2024,SE,FT,103000
2024,EX,FT,223000
2024,EX,FT,205000
2024,SE,FT,209000
2024,SE,FT,120000
2024,MI,FT,200000
2024,MI,FT,160000
2024,MI,FT,110000
2024,MI,FT,90000
2024,SE,FT,252000
2024,SE,FT,168000
2024,MI,FT,222200
2024,MI,FT,136000
2024,SE,FT,250000
2024,SE,FT,385000
2024,SE,FT,130000
2024,MI,FT,150000
2024,MI,FT,127500
2024,EN,FT,142136
2024,EN,FT,123596
2024,MI,FT,285200
2024,MI,FT,168600
2024,SE,FT,223500
2024,SE,FT,109100
2024,EN,FT,64500
2024,EN,FT,46500
2024,SE,FT,180500
2024,SE,FT,96200
2024,MI,FT,86940
2024,MI,FT,66000
2024,MI,FT,77280
2024,MI,FT,58000
2024,SE,FT,41418
2024,SE,FT,38223
2024,SE,FT,166000
2024,SE,FT,104000
2024,EN,FT,97000
2024,EN,FT,62000
2024,MI,FT,176000
2024,MI,FT,72700
2024,MI,FT,33966
2024,MI,FT,31396
2024,EN,FT,170500
2024,EN,FT,123200
2024,SE,FT,296400
2024,SE,FT,159600
2024,SE,FT,158200
2024,SE,FT,79000
2024,SE,FT,153000
2024,SE,FT,135000
2024,MI,FT,145000
2024,MI,FT,125000
2024,EX,FT,230000
2024,EX,FT,200000
2024,SE,FT,278000
2024,SE,FT,196000
2024,SE,FT,140000
2024,SE,FT,100000
2024,MI,FT,45000
2024,MI,FT,30000
2024,SE,FT,218000
2024,SE,FT,145000
2024,SE,FT,100000
2024,SE,FT,86220
2024,MI,FT,190000
2024,MI,FT,150000
2024,MI,FT,110000
2024,MI,FT,95000
2024,SE,FT,110000
2024,SE,FT,90000
2024,MI,FT,140000
2024,MI,FT,110000
2024,MI,FT,80000
2024,MI,FT,50000
2024,SE,FT,180000
2024,SE,FT,130000
2024,SE,FT,200000
2024,SE,FT,147000
2024,SE,FT,148000
2024,SE,FT,125000
2024,SE,FT,150000
2024,SE,FT,110000
2024,SE,FT,245400
2024,SE,FT,135800
2024,EX,FT,200000
2024,EX,FT,175000
2024,SE,FT,249700
2024,SE,FT,156300
2024,SE,FT,190000
2024,SE,FT,140000
2024,SE,FT,370000
2024,SE,FT,220000
2024,EN,FT,35000
